"","text"
"55","@gopayindonesia Saya belum pernah transaksi gobills sebelumnya, promonya yang diaplikasi pun masih promo yang lama https://t.co/aDiocQBsQA"
"56","Mau zakat ke Dompet Dhuafa gak usah ribet-ribet. Buka di gadget bayar pake GO-PAY klik &gt;&gt; https://t.co/eSiqL3xgrc @bawaberkahorg @gopayindonesia https://t.co/6VhuttC4PC"
"57","2. Silahkan masuk ke @bawaberkahorg sesuai dengan pilihan kamu Sob @gopayindonesia #KemudahanZISWAF https://t.co/MYRN0cNoLH"
"58","3. Isi nominal donasi atau zakat kemudian pilih Pembayaran Otomatis (Tanpa Konfirmasi) @bawaberkahorg @gopayindonesia #KemudahanZISWAF https://t.co/jcfrg0Act3"
"59","4. Klik lanjut, kemudian pilih @gopayindonesia dan selesaikan pembayaran @bawaberkahorg #KemudahanZISWAF https://t.co/xnSxi8WNHa"
"60","Mau zakat ke Dompet Dhuafa gak usah ribet-ribet Buka di gadget bayar pake @gopayindonesia di @bawaberkahorg #KemudahanZISWAF https://t.co/xaaRdxdT2M"
"61","1. Masuk ke halaman &gt;&gt; https://t.co/eSiqL3xgrc kemudian klik donasi @bawaberkahorg @gopayindonesia #KemudahanZISWAF https://t.co/1jqBANcRI6"
"62","Donasi di Dompet Dhuafa sekarang bisa melalui Go Pay. Kini donasi terbaikmu pada sesama bisa disalurkan dengan mudah melalui Go Pay @gopayindonesia https://t.co/QNbYV8lw0s"
"63","Mau zakat ke Dompet Dhuafa gak usah ribet-ribet. Buka di gadget bayar pake GO-PAY klik &gt;&gt; https://t.co/eSiqL3fF2C @bawaberkahorg @gopayindonesia #KemudahanZISWAF https://t.co/6VhuttC4PC"
"64","5. Pembayaran zakatmu telah berhasil via @gopayindonesia di @bawaberkahorg . Mudah bukan ? #KemudahanZISWAF https://t.co/zyU5fxQuTT"
"65","Acara pasar nostalgia oleh @gojekindonesia @gopayindonesia di Mal Pekanbaru tenant nya kok byk minta transaksi cash??? Ga bisa gopay, padahal acaranya gopay <U+0001F644>"
"66","@dendengbatakoo Kami cinta @gopayindonesia <U+0001F60D>"
"67","@gopayindonesia ini CS niat apa nggak sih. Lapor ga dpt cashback tgl 29 jan. Disuruh email udah, isi form udah. Sampai sekarang ga ada solusi/jawabannya. Cashback tetep aja ga ada sampai sekarang."
"68","@gopayindonesia sumpah pengen nampol yg pamer kendaraan, kirain pengusaha sukses kendaraannya berjajar <U+0001F602><U+0001F923><U+0001F602><U+0001F923> ternyata......."
"69","@gopayindonesia Ntapsss akhirnya <U+0001F602>"
"70","Demen Sama Program Cashbacknya @gopayindonesia apalagi kalau 50% https://t.co/FmYuA52OMz"
"71","@gopayindonesia @PakAjiMumpung Tdi nyoba order minuman uda ada barcode gopay kok g ada cashback"
"72","@gopayindonesia tolong dong tarik tunainya kok prosesnya lamaa bgt? Itu uangnya kemanaaa:( di saldo gopaynya ga ada dan di riwayatnya juga ga ada keterangan juga. Huhuhu itu duitnya gimana:( auto kere ga ada duit klo begini mah"
"73","@gopayindonesia dear gopay, saldo gopay saya hilang padahal tidak melakukan transaksi"
"74","@PakAjiMumpung @gojekindonesia Go-Pay Payday @gopayindonesia cuma 2 hari pak dan Kamis Jumat. Perlu untuk diperjuangkan supaya bisa juga di weekend #PerjuanganBelumBerakhir"
"75","@gopayindonesia @PakAjiMumpung Semoga point e yg menyatakan akan ada Go-Pay Payday lagi bisa terealisasi mulai besok ya brarti"
"76","@gopayindonesia @PakAjiMumpung Terimakasih pak <U+0001F60A>"
"77","#Indonesian state firms @Telkomsel, @bankmandiri, @BANKBRI_ID &amp; @BNI pool together USD 80m in capital to launch unified ewallet and #payment service #LinkAja, competing with market leaders @gojekindonesia's @gopayindonesia and @GrabSG's @ovo_id https://t.co/lHLBwqIkOL #Fintech"
"78","@gopayindonesia @PakAjiMumpung Mana kok ga ada?"
"79","@gojekindonesia @gopayindonesia @alfamart min mau tanya, ini s&amp;k alfamart kumpulan voucher. Katamya di poun ke-8, ada kuota 150rb kumpulan voucher bagi pengguna pertama. Itu selama periode promo (jadi klaua kuota habis, bedok2 gk bisa lagi) atau setiap harinya ada 150rb? Makasih https://t.co/45gVGB5VQH"
"80","Bantuannya min @gojekindonesia @gopayindonesia"
"81","Complaint handling adalah bagian dari pengalaman pengguna jasa. Jangan dianggap sepele ketika pengguna jasa menyampaikan keluhan. 

Satu hal,  kalau suspend acc pelanggan saldo @gopayindonesia harus dikembalikan. Jangan main suspend kalau saldo @gopayindonesia belum dikembalikan"
"82","Ini loh @TaniHubID ,bisnis dgn jiwa sosial yg diinfokan Pak @jokowi saat #DebatKeduaPilpres2019
Yuk mulai belanja di https://t.co/8IbLVAdVav u/ petani #Indonesia <U+0001F1EE><U+0001F1E9> yg lebih sejahtera
Semoga bisa kerjasama dgn @gojekindonesia
/ @gopayindonesia
#DebatPintarJokowi
#DebatPilpres2019 https://t.co/nBqmAT1jfX"
"83","@PakAjiMumpung @gopayindonesia Terimahkasih sudah membahagiakan rakyat Ajii Mumpung pakk!!!  #2019AjiMumpung"
"84","@gopayindonesia @shitlicious @pergijauh Apakah gopay hilman masuk dalam silsilah keluarga hilman?"
"85","@gopayindonesia selamat malam min, saya mau info.. bayar dialfamart saldo gopay saya terpotong tapi dikomputer gagal..
Saya minta bantuan dong biar saldo saya balik lagi"
"86","@gopayindonesia We need 50% for pubg"
"87","@irwan_haryanto @gopayindonesia Terima kasih atas saran yang diberikan. Saran akan kami sampaikan ke pihak terkait agar dapat meningkatkan pelayanan kami kepada pelanggan. <U+0001F642> ^dy"
"88","@__MRaZ @gopayindonesia Informasi lengkap mengenai promo bisa sahabat lihat di https://t.co/X9SmJb1wbi. <U+0001F642> ^dy"
"89","@PakAjiMumpung @gopayindonesia Ditunggu pak program-programnyaa<U+0001F64C>
#2019AjiMumpung"
"90","halo @gopayindonesia 
saya mengajukan permintaan agar bisa login ke dashboard merchant menggunakan email sejak bulan desember belum diproses juga?!"
"91","Gak ada, @alfamart masa dapet cashback dari @gopayindonesia cuma 5 ribu. Mau ketawa ku rasanya menerima cashback itu. #2019AjiMumpung jadi selalu cari yang bisa kasih cashback lebih. https://t.co/FsShe5X8yc"
"92","Ingin segera coba belanja di @alfamart 

Masih gak bisa nahan ketawa, berapapun banyak kaleng susu dibeli di Alfa pakai @gopayindonesia cashbacknya hanya 5ribu. <U+0001F602><U+0001F602> #2019AjiMumpung https://t.co/N9E6ElFDmq"
"93","Nganterin orderan ayam goreng serundeng di sini...
Krn waktu nya telat hrs lari2.. Haus deh.. Untung ada @ChatimeIndo 
Trs dpt cashback lagi dr @gopayindonesia 

Makasih yak <U+0001F618><U+0001F618><U+0001F618><U+0001F618> https://t.co/jBTfrTZeA2"
"94","@gopayindonesia @PakAjiMumpung cie ga terus nih @PakAjiMumpung @gojekindonesia #2019AjiMumpung"
"95","@CakraZsandhika @gojekindonesia @gopayindonesia Sibuk kampanye mungkin mas"
"96","@dayanalady @gopayindonesia @ovo_id @danawallet PayTren mana?"
"97","Sedaaappp.... Ayo @gopayindonesia dan @ovo_id jangan mau kalah sama @danawallet <U+0001F60E><U+0001F60E><U+0001F60E> https://t.co/8NYi3PKM4O"
"98","@gopayindonesia @PakAjiMumpung McD cashback 50% max 50rb lagi dong pas GopayPayDay"
"99","@gopayindonesia @gojekindonesia Udah

Cek DM"
"100","@gopayindonesia Katanya ada cashback

Mana? 
@gojekindonesia https://t.co/ZVqCB2TqqB"
"101","@gopayindonesia @PakAjiMumpung terimakasih pak @PakAjiMumpung"
"102","@gopayindonesia @PakAjiMumpung Manthull"
"103","@PakAjiMumpung @gopayindonesia alhamdulilllaaaah akhirnya ya Pak :') terharu saya ini wkwk #2019AjiMumpung"
"104","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Hidup rakyat AjiMumpung!!! <U+270A><U+270A><U+270A> #2019AjiMumpung"
"105","@PakAjiMumpung @gopayindonesia Semoga tidak mengecewak <U+0001F62D> ditungguuuu #2019AjiMumpung"
